epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7171,1.39238,2.51799,1.47459,0.43706,0.40805,0.35772,0.18184,1.452,3.1798,1.47337,0.000659341,0.000659341,0.000659341
2,31.7139,1.46664,2.04573,1.55051,0.35149,0.42529,0.30168,0.1472,1.75322,4.38506,1.78079,0.00131288,0.00131288,0.00131288
3,46.6024,1.55608,1.98441,1.62472,0.37337,0.35057,0.31847,0.18501,1.69096,2.87996,1.81215,0.00195322,0.00195322,0.00195322
4,61.578,1.53285,1.89581,1.60786,0.37767,0.37931,0.26523,0.12752,1.85861,2.95224,1.91224,0.0019406,0.0019406,0.0019406
5,76.6784,1.51725,1.83239,1.62727,0.51229,0.41654,0.42847,0.24356,1.69077,1.94338,1.72888,0.0019208,0.0019208,0.0019208
6,91.6232,1.46859,1.68377,1.56193,0.56192,0.43494,0.47271,0.25064,1.67187,2.26936,1.70025,0.001901,0.001901,0.001901
7,106.432,1.43695,1.61796,1.55237,0.54068,0.45977,0.4594,0.25605,1.79003,2.13024,1.93143,0.0018812,0.0018812,0.0018812
8,121.225,1.38717,1.55656,1.51594,0.61664,0.47146,0.50648,0.31234,1.56629,1.78527,1.58807,0.0018614,0.0018614,0.0018614
9,136.011,1.37222,1.50161,1.49071,0.28175,0.26437,0.21477,0.11466,1.83971,3.47264,1.8947,0.0018416,0.0018416,0.0018416
10,150.84,1.37003,1.45129,1.49005,0.52572,0.54598,0.54097,0.32724,1.52737,1.6614,1.59142,0.0018218,0.0018218,0.0018218
11,165.68,1.32188,1.37151,1.45726,0.699,0.62644,0.66016,0.37344,1.5819,1.44479,1.55173,0.001802,0.001802,0.001802
12,180.47,1.31129,1.32581,1.44823,0.66294,0.48276,0.57599,0.33108,1.60053,1.65174,1.59266,0.0017822,0.0017822,0.0017822
13,195.258,1.29889,1.29743,1.44216,0.70085,0.49819,0.57009,0.33281,1.60469,1.6761,1.64441,0.0017624,0.0017624,0.0017624
14,209.992,1.28723,1.29545,1.44431,0.65616,0.57471,0.61443,0.32824,1.63664,1.55511,1.6154,0.0017426,0.0017426,0.0017426
